,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,1931578,,,4
1,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,457655,,,4
2,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,404199,,,4
3,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,144340,,,4
4,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,11908367,,,4
5,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,160762129,,,0
6,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,115187284,,,0
7,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,5069227,,,0
8,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,54939,,,0
9,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,145829,,,0
