,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,7484928,,,0
1,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,605,,,0
2,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,12219,,,4
3,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,33003346,,,0
4,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,255372,,,0
5,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,656351,,,0
6,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2976218,,,0
7,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,252399702,,,0
8,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,23501889,,,0
9,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,17098416,,,0
10,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,378253978,,,0
11,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1353373612,,,0
12,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,52902,,,0
