,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,376679066,,,4
1,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,8,Albania,ALB,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,55366,,,0
2,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,32,Argentina,ARG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1681,,,0
3,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3349,,,0
4,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,40,Austria,AUT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,65914248,,,0
5,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,48,Bahrain,BHR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,363569,,,0
6,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,50,Bangladesh,BGD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,372129,,,0
7,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,51,Armenia,ARM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,59543,,,0
8,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3686680,,,0
9,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,70,Bosnia Herzegovina,BIH,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,861235,,,0
10,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,100,Bulgaria,BGR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3187973,,,0
11,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,104,Myanmar,MMR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3289,,,0
12,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,112,Belarus,BLR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,94717,,,0
13,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,108304,,,0
14,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,144,Sri Lanka,LKA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,102729,,,0
15,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,152,Chile,CHL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5880,,,0
16,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1008347,,,0
17,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,170,Colombia,COL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2216,,,0
18,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,191,Croatia,HRV,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,10006326,,,0
19,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,196,Cyprus,CYP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,378466,,,0
20,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,208,Denmark,DNK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3529,,,0
21,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,233,Estonia,EST,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,28719,,,0
22,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,234,Faeroe Isds,FRO,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3637,,,0
23,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,246,Finland,FIN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,913,,,0
24,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2601201,,,4
25,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,268,Georgia,GEO,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,32587,,,0
26,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,53356531,,,0
27,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,288,Ghana,GHA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,45996,,,0
28,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,300,Greece,GRC,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3582782,,,0
29,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,316,Guam,GUM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,131,,,0
30,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,561734,,,0
31,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,348,Hungary,HUN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,22620991,,,0
32,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,352,Iceland,ISL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3187,,,4
33,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,16225,,,0
34,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,368,Iraq,IRQ,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,480154,,,0
35,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,20277,,,0
36,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,376,Israel,ISR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,191,,,0
37,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8120797,,,4
38,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,823689,,,0
39,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,398,Kazakhstan,KAZ,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,9137953,,,0
40,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,400,Jordan,JOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,79801,,,0
41,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,404,Kenya,KEN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,24134,,,0
42,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,82344,,,0
43,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,414,Kuwait,KWT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,554328,,,0
44,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,422,Lebanon,LBN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,497603,,,0
45,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,428,Latvia,LVA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,56338,,,0
46,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,434,Libya,LBY,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,12360,,,0
47,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,440,Lithuania,LTU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,730220,,,0
48,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,442,Luxembourg,LUX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,17120,,,0
49,H5,2019,2019,2019,2,0,2,Export,203,Czechia,CZE,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,16644,,,0
