,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8241699,,,0
1,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4309323,,,0
2,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,517612,,,0
3,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,100340531,,,0
4,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,29817043,,,0
5,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,9534112,,,0
6,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,13988869,,,0
7,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,147334,,,0
8,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,150914188,,,0
9,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,4265512,,,0
10,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,8179126,,,0
11,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,5817118,,,4
12,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,516890,,,0
13,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,68848335,,,0
14,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,5368673,,,4
