,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1276872,,,4
1,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,28892229,,,0
2,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,32354,,,0
3,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,8462016,,,0
4,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,531718,,,4
5,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,3511964,,,0
6,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,141994982,,,4
7,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,44717,,,0
8,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,23856628,,,0
9,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1341162120,,,0
10,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,598609,,,0
