,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,699,India,IND,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,342155241,,,0
1,H5,2019,2019,2019,2,0,2,Export,699,India,IND,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,4661638,,,0
2,H5,2019,2019,2019,2,0,2,Export,699,India,IND,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,134403167,,,0
3,H5,2019,2019,2019,2,0,2,Export,699,India,IND,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,419048243,,,0
4,H5,2019,2019,2019,2,0,2,Export,699,India,IND,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,47818925,,,4
5,H5,2019,2019,2019,2,0,2,Export,699,India,IND,484,Mexico,MEX,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1086381,,,0
6,H5,2019,2019,2019,2,0,2,Export,699,India,IND,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,9,,,0
7,H5,2019,2019,2019,2,0,2,Export,699,India,IND,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,5145087,,,4
8,H5,2019,2019,2019,2,0,2,Export,699,India,IND,458,Malaysia,MYS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1697721,,,4
9,H5,2019,2019,2019,2,0,2,Export,699,India,IND,484,Mexico,MEX,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,156817,,,0
10,H5,2019,2019,2019,2,0,2,Export,699,India,IND,372,Ireland,IRL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,7211,,,0
11,H5,2019,2019,2019,2,0,2,Export,699,India,IND,381,Italy,ITA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,231296,,,0
12,H5,2019,2019,2019,2,0,2,Export,699,India,IND,392,Japan,JPN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,8499559,,,0
13,H5,2019,2019,2019,2,0,2,Export,699,India,IND,458,Malaysia,MYS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1123059,,,4
14,H5,2019,2019,2019,2,0,2,Export,699,India,IND,484,Mexico,MEX,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,47289,,,0
15,H5,2019,2019,2019,2,0,2,Export,699,India,IND,372,Ireland,IRL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,191589,,,0
16,H5,2019,2019,2019,2,0,2,Export,699,India,IND,381,Italy,ITA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,2555692,,,0
17,H5,2019,2019,2019,2,0,2,Export,699,India,IND,392,Japan,JPN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,2148015,,,0
18,H5,2019,2019,2019,2,0,2,Export,699,India,IND,458,Malaysia,MYS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,2539758,,,0
19,H5,2019,2019,2019,2,0,2,Export,699,India,IND,484,Mexico,MEX,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,211106,,,0
20,H5,2019,2019,2019,2,0,2,Export,699,India,IND,372,Ireland,IRL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,629964,,,0
