,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,509156017,,,4
1,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,8,Albania,ALB,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,38065,,,0
2,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,12,Algeria,DZA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,246304,,,0
3,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,36900,,,0
4,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,48,Bahrain,BHR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,147,,,0
5,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,52,Barbados,BRB,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1119,,,0
6,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1922478,,,0
7,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,60,Bermuda,BMU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2479,,,0
8,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,817,,,0
9,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,100,Bulgaria,BGR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,124136,,,0
10,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1060401,,,0
11,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,136,Cayman Isds,CYM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2173,,,0
12,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,152,Chile,CHL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1645,,,0
13,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,238243,,,0
14,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,170,Colombia,COL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2636,,,0
15,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1154208,,,0
16,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,208,Denmark,DNK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1225288,,,0
17,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,15909470,,,0
18,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,268,Georgia,GEO,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,111,,,0
19,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4202983,,,0
20,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,300,Greece,GRC,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3577943,,,0
21,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5060,,,0
22,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,348,Hungary,HUN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1477098,,,0
23,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,364,Iran,IRN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1119,,,0
24,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,376,Israel,ISR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1393,,,0
25,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,19710138,,,0
26,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,388,Jamaica,JAM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,111,,,0
27,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,190323,,,0
28,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,398,Kazakhstan,KAZ,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2185197,,,4
29,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,400,Jordan,JOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,559,,,0
30,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,404,Kenya,KEN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,559,,,0
31,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,7501,,,0
32,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,414,Kuwait,KWT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,167,,,0
33,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,434,Libya,LBY,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,10601876,,,0
34,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,442,Luxembourg,LUX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,71316,,,0
35,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,111,,,0
36,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,480,Mauritius,MUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,223,,,0
37,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,111,,,0
38,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,504,Morocco,MAR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,317148,,,0
39,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,10321019,,,0
40,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,554,New Zealand,NZL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4168,,,0
41,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,579,Norway,NOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,875164,,,0
42,H5,2019,2019,2019,2,0,2,Export,372,Ireland,IRL,604,Peru,PER,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,111,,,0
