,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,844640,,,0
1,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3321238,,,0
2,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1453264,,,0
3,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,4642816,,,0
4,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,87097363,,,0
5,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,46094954,,,0
6,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,8968967,,,0
7,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,682,Saudi Arabia,SAU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2606,,,0
8,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,104293,,,0
9,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,724,Spain,ESP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,108942261,,,0
10,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,757,Switzerland,CHE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,19052522,,,4
11,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,764,Thailand,THA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,724807,,,0
12,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,10450073,,,0
13,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,702,Singapore,SGP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,5209580,,,0
14,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,724,Spain,ESP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,200597535,,,0
