,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,36719437,,,4
1,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,16182165,,,4
2,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,6219,,,4
3,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,144,Sri Lanka,LKA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,18345,,,4
4,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8850618,,,4
5,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,208,Denmark,DNK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,23738,,,4
6,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,483538,,,4
7,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,354038,,,4
8,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,620074,,,4
9,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,51367,,,4
10,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,1211447,,,4
11,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3725473,,,4
12,H5,2019,2019,2019,2,0,2,Export,392,Japan,JPN,446,"China, Macao SAR",MAC,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,141158,,,4
