,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,6478928,,,0
1,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,365667501,,,4
2,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3489182,,,0
3,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,23973738,,,0
4,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,7700141,,,0
5,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,88794777,,,0
6,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,604348298,,,4
7,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,12498208,,,0
8,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,782678695,,,0
9,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,266538,,,0
10,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,547112651,,,4
11,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,180121,,,0
12,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,20401891,,,0
13,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,242335445,,,0
14,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,48342983,,,0
15,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1533329597,,,0
16,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,7811100,,,0
17,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,14134301,,,0
18,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,156,China,CHN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,190374829,,,0
19,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1244845,,,0
20,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,37661361,,,0
21,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,4517681,,,0
22,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,693081,,,0
23,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,156,China,CHN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,93492440,,,0
24,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,12982033,,,0
25,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,572870747,,,0
26,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,22711281,,,0
27,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,47649968,,,0
28,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,156,China,CHN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,132506642,,,0
29,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,3187903,,,0
30,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,962127345,,,0
31,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,16288219,,,0
32,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,18458508,,,0
33,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,156,China,CHN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,280105,,,0
34,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,829429,,,0
35,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,625983993,,,0
36,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,170181,,,0
37,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,532501,,,0
38,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,156,China,CHN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,9370071,,,0
39,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,1892062,,,0
40,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,151301440,,,0
41,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,63629,,,0
42,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,664019,,,0
43,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,156,China,CHN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,2925762,,,0
44,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,171254330,,,0
45,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,29,,,0
46,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,118763,,,0
47,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,22325,,,0
48,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,3023723,,,0
49,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,109983666,,,0
50,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,14160915,,,0
51,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,3177190,,,0
52,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,156,China,CHN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,27537670,,,0
53,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,36700436,,,0
54,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,198987990,,,0
55,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,39632956,,,0
56,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,52895211,,,0
