,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,50899,,,0
1,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,231208,,,0
2,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1083,,,0
3,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,14253,,,0
4,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4704800,,,0
5,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,48962085,,,0
6,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,66431,,,0
7,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,119225725,,,4
8,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,526898,,,0
9,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1038686,,,0
10,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,6795581,,,0
11,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,120831980,,,0
12,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1755421,,,4
13,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,73539,,,0
14,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,6386601,,,0
15,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,15236679,,,0
16,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,3,,,0
17,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,668213,,,0
18,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,39086,,,0
19,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1650,,,0
20,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,2384,,,0
21,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,2546071,,,0
22,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,4849051,,,0
23,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,207559,,,0
24,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,137017,,,0
25,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,24512038,,,0
26,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,32333481,,,0
27,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,303136,,,0
28,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,34354,,,0
29,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,39577567,,,0
30,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,1442213,,,4
31,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,115141,,,0
32,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,792,Turkey,TUR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,198,,,0
33,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,125885,,,0
34,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,7316369,,,4
35,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,247809,,,0
36,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,176355,,,0
37,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,792,Turkey,TUR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,36837,,,0
38,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,82184,,,0
39,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1287740,,,4
40,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,2224307,,,0
41,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,53313,,,0
42,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,89974,,,0
43,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,6465773,,,0
44,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,9140184,,,0
45,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,235672,,,0
46,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,792,Turkey,TUR,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,673191,,,0
47,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,909427,,,0
48,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,26124026,,,0
49,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,2510978,,,0
50,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,564982,,,0
51,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,792,Turkey,TUR,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,312820,,,0
52,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,539304,,,0
53,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,20646002,,,0
54,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,58,,,0
55,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,675,,,4
56,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,792,Turkey,TUR,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,1320,,,4
57,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,8423,,,4
58,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,12617365,,,0
59,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,4500556,,,0
60,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,792,Turkey,TUR,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,191652,,,0
61,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,177621,,,0
62,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,3185925,,,4
63,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,5771915,,,0
64,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,736552,,,0
65,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,792,Turkey,TUR,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,33371,,,0
66,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,1211458,,,0
67,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,51240661,,,0
68,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,34359182,,,0
69,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,2135103,,,0
70,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,792,Turkey,TUR,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,118375,,,0
71,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,1341414,,,0
72,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,7171970,,,0
73,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,1913347,,,0
74,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,368432,,,0
75,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,51847,,,0
76,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,614969,,,4
77,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,58714907,,,0
78,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,8276024,,,0
79,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,792,Turkey,TUR,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,187941,,,0
80,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,23392854,,,0
81,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,221641559,,,0
82,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,8775350,,,4
