,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,34,,,0
1,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,966086,,,4
2,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,19563,,,4
3,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,13116,,,4
4,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,157139,,,0
5,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,56958,,,0
6,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,12277,,,0
7,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,2782477,,,0
8,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,56,Belgium,BEL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,6914503,,,0
9,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,76,Brazil,BRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,176891,,,4
10,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,124,Canada,CAN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,23306534,,,4
11,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,156,China,CHN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,22899657,,,4
12,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,36,Australia,AUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,29078,,,4
13,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,56,Belgium,BEL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,3872,,,4
14,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,124,Canada,CAN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,38071,,,4
15,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,156,China,CHN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,78,,,4
16,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,56,Belgium,BEL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,151016,,,4
17,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,156,China,CHN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,21092,,,0
18,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,56,Belgium,BEL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,118389,,,4
19,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,76,Brazil,BRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,1457,,,4
20,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,156,China,CHN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,212726,,,4
