,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,44032,,,4
1,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3859594,,,4
2,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,7355704,,,4
3,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,203,Czechia,CZE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3470,,,0
4,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,45609966,,,0
5,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,12789782,,,4
6,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,29997,,,0
7,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,814266,,,0
8,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,3135750,,,4
9,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,146632,,,0
10,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,203,Czechia,CZE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,234925,,,0
11,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,72078515,,,4
