,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2125,,,0
1,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,463414,,,4
2,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1610625,,,4
3,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2869,,,0
4,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1915,,,4
5,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,6922,,,0
6,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,981825,,,0
7,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,325366,,,4
8,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1663594,,,0
9,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,784,United Arab Emirates,ARE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1930238,,,0
10,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,792,Turkey,TUR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,219057,,,0
11,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,826,United Kingdom,GBR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,15487676,,,4
12,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,842,USA,USA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,87841236,,,4
13,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,792,Turkey,TUR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,50888,,,0
