,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,52226,,,4
1,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,44283,,,4
2,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,880,,,4
3,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,200,,,4
4,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,330,,,4
5,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,27824112,,,4
6,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,16965,,,4
7,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,139540864,,,4
8,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,153,,,4
9,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,8065768,,,4
10,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,86812842,,,4
11,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,60260140,,,4
12,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,3830028,,,4
13,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,699813,,,4
14,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,643,Russian Federation,RUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,11258920,,,4
15,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,539372,,,4
16,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,8345808,,,4
17,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,2087571,,,4
18,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,289652,,,4
19,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1940678,,,4
20,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,65943,,,4
21,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,7569551,,,4
22,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1340414,,,4
23,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,7380119,,,4
24,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,616,Poland,POL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,265399,,,4
25,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,643,Russian Federation,RUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1395857,,,4
26,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,4086057,,,4
27,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,21991736,,,4
28,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,8325154,,,4
29,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,616,Poland,POL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,378770,,,4
30,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,643,Russian Federation,RUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,3513059,,,4
31,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,43214629,,,4
32,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,17415573,,,4
33,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,9468343,,,4
34,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,616,Poland,POL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,41398,,,4
35,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,643,Russian Federation,RUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,9241989,,,4
36,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,707538,,,4
37,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,1388436,,,4
38,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,8212476,,,4
39,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,616,Poland,POL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,738217,,,4
40,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,643,Russian Federation,RUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,188724,,,4
41,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,379390,,,4
42,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,14212256,,,4
43,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,37664362,,,4
44,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,616,Poland,POL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,5555992,,,4
45,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,643,Russian Federation,RUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,17785677,,,4
46,H5,2019,2019,2019,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,4043687,,,4
