,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,151073,,,0
1,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2665,,,0
2,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,44383,,,0
3,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,536489,,,0
4,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,9085,,,0
5,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,89656,,,0
6,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,14553,,,0
7,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,110800,,,0
8,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,937762,,,0
9,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,4813,,,0
10,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,3260295,,,0
11,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,30763923,,,0
12,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,19808,,,0
13,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1033407,,,0
14,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,6597,,,0
15,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,328370,,,0
16,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,469699,,,0
17,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,6112,,,0
18,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,89978,,,0
19,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,150,,,0
20,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,172695,,,0
21,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,395048,,,0
22,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,367,,,0
23,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,8263077,,,0
24,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,10729004,,,0
25,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,3516704,,,0
26,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,5344150,,,0
27,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,5385762,,,0
28,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,67960106,,,0
29,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,31669434,,,0
30,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,41623412,,,0
31,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,100398303,,,0
32,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,41739156,,,0
33,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,3114846,,,0
34,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,8752450,,,0
35,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,2428930,,,0
36,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,5611760,,,0
37,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,3703852,,,0
38,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,29193,,,0
39,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2473837,,,0
40,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,185055,,,0
41,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,449,,,0
42,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,5153840,,,0
