,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,20795796,,,4
1,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2272433,,,4
2,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,74265582,,,4
3,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,35921960,,,4
4,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,484,Mexico,MEX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,112089499,,,4
5,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,620974,,,0
6,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,34534514,,,0
7,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3451741206,,,0
8,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,13758746,,,0
9,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,484,Mexico,MEX,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3113861401,,,0
10,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,364516,,,0
11,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,58152509,,,4
12,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,674515577,,,4
13,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,11245840,,,4
14,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,484,Mexico,MEX,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,31972276,,,4
15,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,4705013,,,4
