,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,20843,,,0
1,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,81923,,,0
2,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,599,,,0
3,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,17421,,,0
4,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8158574,,,0
5,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,345137,,,0
6,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3283639,,,0
7,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,108439,,,0
8,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,402,,,0
9,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,964,,,0
