,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,15282641,,,0
1,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,31261,,,0
2,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,109635,,,0
3,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,8206,,,0
4,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3394,,,0
5,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,66569448,,,0
6,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,15775,,,0
7,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,82686486,,,0
8,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,36420,,,0
9,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,238526,,,0
10,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,246973740,,,4
11,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,702,Singapore,SGP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,855971,,,0
12,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,724,Spain,ESP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,53887,,,0
13,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,18080,,,0
14,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,14896,,,0
15,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,54080,,,0
16,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1854542,,,0
17,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,724,Spain,ESP,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,544,,,0
18,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,2150859,,,0
19,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,72812402,,,0
20,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,702,Singapore,SGP,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,1196116,,,0
21,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,724,Spain,ESP,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,177340,,,0
22,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,757,Switzerland,CHE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,1025,,,0
23,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,96320,,,4
24,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,145399398,,,0
25,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,702,Singapore,SGP,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,954210,,,0
26,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,724,Spain,ESP,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,262780,,,0
27,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,757,Switzerland,CHE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,36438,,,0
28,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,258831,,,0
29,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,29448499,,,0
30,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,702,Singapore,SGP,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,1062228,,,0
31,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,724,Spain,ESP,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,258007,,,0
32,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,757,Switzerland,CHE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,70663,,,0
33,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,225055,,,0
34,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,5768570,,,4
35,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,757,Switzerland,CHE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,591,,,0
36,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,59329,,,0
37,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,25067301,,,0
38,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,702,Singapore,SGP,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,6480,,,0
39,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,724,Spain,ESP,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,6432,,,0
40,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,757,Switzerland,CHE,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,408,,,0
41,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,4611,,,0
42,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,14114209,,,0
