,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,707,,,0
1,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,366219,,,0
2,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2237908,,,0
3,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2575873,,,0
4,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,33308,,,0
5,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,105696,,,0
6,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,319993,,,0
7,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,8535645,,,0
8,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,23054,,,0
9,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,4541,,,0
10,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,7658662,,,0
11,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,48071,,,0
12,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,792,Turkey,TUR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,4133025,,,0
13,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,826,United Kingdom,GBR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,166764,,,0
14,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,842,USA,USA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,335844,,,0
15,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,704,Viet Nam,VNM,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,335219,,,0
16,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,792,Turkey,TUR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,50279,,,0
17,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,826,United Kingdom,GBR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,5445,,,0
18,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,842,USA,USA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,6563,,,0
19,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,704,Viet Nam,VNM,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,3056,,,0
20,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,792,Turkey,TUR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1388,,,0
21,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,826,United Kingdom,GBR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,11191,,,0
22,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,842,USA,USA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,22914,,,0
23,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,704,Viet Nam,VNM,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,816,,,0
24,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,792,Turkey,TUR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,1414857,,,0
25,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,826,United Kingdom,GBR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,5402223,,,0
26,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,842,USA,USA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,639302,,,0
27,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,704,Viet Nam,VNM,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,543063,,,0
28,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,792,Turkey,TUR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,5360376,,,0
29,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,826,United Kingdom,GBR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,816939,,,0
30,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,842,USA,USA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,3590163,,,0
31,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,704,Viet Nam,VNM,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,1511873,,,0
32,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,792,Turkey,TUR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,2319237,,,0
33,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,826,United Kingdom,GBR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,11488982,,,0
34,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,842,USA,USA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,10223988,,,0
35,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,704,Viet Nam,VNM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,32850,,,0
36,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,792,Turkey,TUR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,65505,,,0
37,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,826,United Kingdom,GBR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,373845,,,0
38,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,842,USA,USA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3893856,,,0
39,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,704,Viet Nam,VNM,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,39479,,,0
40,H5,2019,2019,2019,2,0,2,Export,784,United Arab Emirates,ARE,792,Turkey,TUR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,31630,,,0
