,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,22838070,,,0
1,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1569123,,,0
2,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,14601432,,,4
3,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1115487,,,4
4,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3024388,,,0
5,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,845153,,,0
6,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3077330,,,0
7,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,45601500,,,4
8,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,13096883,,,4
9,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,,,338004,,,4
10,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,682,Saudi Arabia,SAU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,811864,,,0
