,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,1342439314,,,4
1,H5,2020,2020,2020,2,0,2,Export,36,Australia,AUS,32,Argentina,ARG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,58309,,,4
2,H5,2020,2020,2020,2,0,2,Export,36,Australia,AUS,48,Bahrain,BHR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4527,,,4
3,H5,2020,2020,2020,2,0,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8423286,,,4
4,H5,2020,2020,2020,2,0,2,Export,36,Australia,AUS,104,Myanmar,MMR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,311777,,,4
5,H5,2020,2020,2020,2,0,2,Export,36,Australia,AUS,116,Cambodia,KHM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,811637,,,4
6,H5,2020,2020,2020,2,0,2,Export,36,Australia,AUS,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,315152,,,4
7,H5,2020,2020,2020,2,0,2,Export,36,Australia,AUS,144,Sri Lanka,LKA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,41990,,,4
8,H5,2020,2020,2020,2,0,2,Export,36,Australia,AUS,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,222904513,,,4
9,H5,2020,2020,2020,2,0,2,Export,36,Australia,AUS,196,Cyprus,CYP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,1380,,,4
