,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,10000,,,0
1,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,24293,,,0
2,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,59744,,,0
3,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,5443462,,,0
4,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,61463180,,,0
5,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1598439354,,,0
6,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,137689,,,0
7,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,203,Czechia,CZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,10476,,,0
8,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,22456,,,0
9,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,661541,,,0
10,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,27024271,,,0
11,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,699,India,IND,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,9132,,,0
12,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,442907,,,0
