,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,500,,,0
1,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1076934,,,0
2,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,153396512,,,0
3,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,702372825,,,0
4,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,35631011,,,0
5,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,484,Mexico,MEX,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,9122118,,,0
6,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,23530,,,0
7,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2481550,,,4
8,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,500991,,,0
9,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,484,Mexico,MEX,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,111,,,0
10,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,108,,,0
11,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,349986,,,4
12,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,3909667,,,4
13,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,458,Malaysia,MYS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,92989,,,0
14,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,484,Mexico,MEX,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,2763178,,,4
15,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,372,Ireland,IRL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,2141874,,,0
16,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,7656333,,,0
17,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,392,Japan,JPN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,19066728,,,4
18,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,458,Malaysia,MYS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,272914,,,0
19,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1522011,,,0
20,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,392,Japan,JPN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,58964,,,4
21,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,484,Mexico,MEX,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,12,,,0
22,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,372,Ireland,IRL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,53049,,,0
23,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,625988,,,0
24,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,392,Japan,JPN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,1172951,,,4
25,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,458,Malaysia,MYS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,261146,,,0
26,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,484,Mexico,MEX,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,7058,,,0
27,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,372,Ireland,IRL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,6737783,,,0
28,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,16968079,,,0
