,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,53206,,,0
1,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,15024,,,0
2,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,21699,,,0
3,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,210408918,,,0
4,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,4673,,,0
5,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,317119652,,,4
6,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,153908,,,0
7,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,303431295,,,0
8,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,6009376,,,0
9,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,7493893,,,0
10,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,156595,,,0
11,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,34660,,,0
12,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,150051,,,0
13,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,2014598,,,4
14,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1365646,,,4
15,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,616,Poland,POL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1295,,,0
16,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,4920917,,,0
17,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,410,Rep. of Korea,KOR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,325345,,,0
18,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,315342,,,0
19,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,4274122,,,0
20,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,616,Poland,POL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,480789,,,0
21,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,643,Russian Federation,RUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,9427224,,,0
22,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,410,Rep. of Korea,KOR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,240,,,0
23,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1614,,,0
24,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,6418091,,,4
25,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,616,Poland,POL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,23,,,0
26,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,643,Russian Federation,RUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,21124,,,0
