,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1388680,,,0
1,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,63122449,,,0
2,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,357,,,4
3,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4219013,,,4
4,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,134435244,,,0
5,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,610539895,,,0
6,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,67316067,,,0
7,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,97851924,,,4
8,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,131721998,,,0
9,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,679325,,,0
10,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,390972,,,0
11,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,4992,,,0
12,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,195002,,,0
13,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,140674752,,,0
14,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1161,,,0
15,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,6599303,,,0
16,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,34565,,,0
17,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1229927,,,4
18,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,78927642,,,0
19,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,2613654,,,0
20,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,764506,,,4
21,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1392328,,,0
22,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1433272,,,4
23,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,99298379,,,4
24,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,3800,,,0
25,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,123780,,,0
26,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1381488,,,4
27,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,45048365,,,0
28,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,2474321,,,0
29,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,2495495,,,0
30,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,3986180,,,4
31,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,7717577,,,4
32,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,2770724,,,0
33,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,11690456,,,0
34,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,135114,,,0
35,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,139651095,,,4
36,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,117796729,,,4
37,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,34240143,,,0
38,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,29011774,,,4
39,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,156085791,,,4
40,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,98507096,,,4
41,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,984122340,,,4
42,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,692919275,,,0
43,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,16478018,,,0
44,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,66733916,,,0
45,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,21495091,,,0
46,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,56315492,,,4
47,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,81,,,0
48,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,67642,,,0
49,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,18477,,,0
50,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,1001270,,,4
51,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,25695279,,,0
52,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,250223002,,,0
53,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,3675249,,,0
54,H5,2020,2020,2020,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,728855148,,,0
