,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,569956979,,,4
1,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,45554,,,4
2,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,116,Cambodia,KHM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4550,,,4
3,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5511,,,4
4,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,567222955,,,4
5,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,7339,,,4
6,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,62494,,,4
7,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,483058,,,4
8,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,61483,,,4
9,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,664451,,,4
10,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,168878,,,4
11,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,446,"China, Macao SAR",MAC,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,34274,,,4
12,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,136813,,,4
13,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,195762,,,4
14,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,554,New Zealand,NZL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,36490,,,4
15,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,608,Philippines,PHL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,66299,,,4
16,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,634,Qatar,QAT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3998,,,4
17,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,18852,,,4
18,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5243,,,4
19,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,84554,,,4
20,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,13924,,,4
21,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,313407,,,4
22,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,321078,,,4
23,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,398454830,,,0
24,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,104,Myanmar,MMR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,114753,,,0
25,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,116,Cambodia,KHM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,125052,,,0
26,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,8585,,,0
27,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,441388,,,0
28,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,48425,,,0
29,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,19165218,,,0
30,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,446,"China, Macao SAR",MAC,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,134423857,,,0
31,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1107692,,,0
32,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,225901823,,,0
33,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,608,Philippines,PHL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,155302,,,0
34,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1562322,,,0
35,H5,2020,2020,2020,2,0,2,Export,344,"China, Hong Kong SAR",HKG,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,12856006,,,0
