,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,222851,,,4
1,H5,2020,2020,2020,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1232047,,,0
2,H5,2020,2020,2020,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,55251,,,0
3,H5,2020,2020,2020,2,0,2,Export,156,China,CHN,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,136449,,,0
4,H5,2020,2020,2020,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,142269,,,0
5,H5,2020,2020,2020,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1803685,,,0
6,H5,2020,2020,2020,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,31755013,,,0
7,H5,2020,2020,2020,2,0,2,Export,156,China,CHN,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,10036749,,,0
8,H5,2020,2020,2020,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,77725379,,,0
9,H5,2020,2020,2020,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1722864817,,,0
10,H5,2020,2020,2020,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,233576662,,,0
