,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1493777,,,0
1,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4404,,,0
2,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,246001,,,0
3,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,6386,,,0
4,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,14904389,,,0
5,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,93785396,,,0
6,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,9207864,,,0
7,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,50247892,,,0
8,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,105067814,,,0
9,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,210092,,,0
10,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,2476184,,,0
11,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,76,Brazil,BRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,56053,,,0
12,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,59149,,,0
13,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,92909,,,0
14,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,47439050,,,0
15,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,56,Belgium,BEL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,180788159,,,0
16,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,76,Brazil,BRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,3229901,,,0
17,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,124,Canada,CAN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,78327536,,,0
18,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,156,China,CHN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,56817116,,,0
19,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,36,Australia,AUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,125678,,,0
20,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,56,Belgium,BEL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,3285228,,,0
21,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,76,Brazil,BRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,6870317,,,0
22,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,124,Canada,CAN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,687569,,,0
