,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,8387451,,,4
1,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,64151421,,,4
2,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,10333383,,,0
3,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3810152,,,0
4,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,484,Mexico,MEX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,12841749,,,0
5,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,190728117,,,4
6,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,701995964,,,0
7,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,195403204,,,0
8,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,30045707,,,0
9,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,484,Mexico,MEX,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,187964,,,0
10,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,15181598,,,4
11,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,308497652,,,0
12,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,18239438,,,0
13,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,129358,,,0
14,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,484,Mexico,MEX,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2981618,,,0
15,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,51463085,,,4
16,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,278665728,,,4
