,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1698110,,,0
1,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3720834,,,0
2,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,56425536,,,4
3,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,18059824,,,0
4,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,70593951,,,0
5,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,19593602,,,0
6,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,160854906,,,4
7,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2944527,,,0
8,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,705351,,,0
9,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,74395130,,,4
10,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,643,Russian Federation,RUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,39092,,,0
11,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,177474056,,,0
12,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,16019799,,,0
13,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,616,Poland,POL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,124814655,,,4
14,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,63746208,,,0
15,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,410,Rep. of Korea,KOR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1547981,,,0
16,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,10810263,,,0
17,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,616,Poland,POL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,15508993,,,4
