,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,92468,,,0
1,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,26394910,,,4
2,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,80574,,,4
3,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,27946,,,0
4,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,484,Mexico,MEX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,761,,,0
5,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,58607470,,,0
6,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,458430123,,,4
7,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,21319729,,,0
8,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,12669687,,,0
9,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,8969956,,,0
10,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,155349611,,,0
11,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,5046750,,,0
12,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,13916218,,,0
13,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,135086086,,,4
14,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,5109652,,,0
