,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4869,,,0
1,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1847,,,0
2,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,249,,,0
3,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,16944,,,0
4,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,6,,,4
5,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,3156,,,0
6,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,21702964,,,0
7,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,5352215,,,0
8,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,117134,,,4
9,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,3129768,,,0
10,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,2990742,,,4
11,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,535454,,,0
12,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,28823674,,,0
13,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,440,,,0
14,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1779351,,,0
15,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,612681,,,0
16,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,31524,,,0
17,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,22447103,,,0
18,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,9758672,,,0
19,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,777582,,,0
20,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,29905840,,,4
21,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,109139,,,0
22,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,616,Poland,POL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,71211,,,0
23,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,4062969,,,0
24,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,2590704,,,0
25,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,1085975,,,0
26,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,616,Poland,POL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,28468,,,4
27,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,207319,,,0
28,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,44,,,0
29,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,53154,,,0
30,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,196224,,,0
31,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,2710992,,,4
32,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,35976,,,0
33,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,616,Poland,POL,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,22360,,,0
34,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,695485,,,0
35,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,27777129,,,4
36,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,831482,,,4
37,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,616,Poland,POL,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,147618,,,4
38,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,17942081,,,4
39,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,4146425,,,4
40,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,2141125,,,0
41,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,616,Poland,POL,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,62723,,,0
42,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,86204,,,0
43,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,1150,,,0
44,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,1560,,,0
45,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,681104,,,4
46,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,10473762,,,0
47,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,616,Poland,POL,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,16237,,,0
