,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2430,,,0
1,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,16542,,,0
2,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4400,,,0
3,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1500,,,0
4,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,80354,,,0
5,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,6812,,,0
6,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,682,Saudi Arabia,SAU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,72305,,,0
7,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,7443705,,,4
8,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,724,Spain,ESP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,38130711,,,0
9,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,764,Thailand,THA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,118962253,,,0
10,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,702,Singapore,SGP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,2128649,,,0
11,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,757,Switzerland,CHE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,551,,,4
12,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,764,Thailand,THA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,71844,,,0
13,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,702,Singapore,SGP,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,51708,,,0
14,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,724,Spain,ESP,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,19656,,,0
15,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,764,Thailand,THA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,269936,,,0
