,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,13342760,,,4
1,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,480263,,,4
2,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,40,Austria,AUT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,15,,,4
3,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,48,Bahrain,BHR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,10,,,4
4,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,233,,,4
5,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,130,,,4
6,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,96,Brunei Darussalam,BRN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,748,,,4
7,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,104,Myanmar,MMR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,11783,,,4
8,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,15282,,,4
9,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,144,Sri Lanka,LKA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,36,,,4
10,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,152,Chile,CHL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,57,,,4
11,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,189683,,,4
12,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,180,Dem. Rep. of the Congo,COD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,367,,,4
13,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,196,Cyprus,CYP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,327,,,4
14,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,208,Denmark,DNK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,57,,,4
15,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,246,Finland,FIN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,57,,,4
16,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4662,,,4
17,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,266,Gabon,GAB,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,9,,,4
18,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,268,Georgia,GEO,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4438,,,4
19,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1066,,,4
20,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,300,Greece,GRC,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,318,,,4
21,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,68047,,,4
22,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,348,Hungary,HUN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,91,,,4
23,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,49492,,,4
24,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,115,,,4
25,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,376,Israel,ISR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,173,,,4
26,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,787,,,4
27,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,384,Côte d'Ivoire,CIV,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,210,,,4
28,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,53414,,,4
29,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,398,Kazakhstan,KAZ,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,226,,,4
30,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,404,Kenya,KEN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,74,,,4
31,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,12624,,,4
32,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,414,Kuwait,KWT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1369,,,4
33,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,422,Lebanon,LBN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,208,,,4
34,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,446,"China, Macao SAR",MAC,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,76455,,,4
35,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,922820,,,4
36,H5,2020,2020,2020,2,0,2,Export,702,Singapore,SGP,470,Malta,MLT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,28,,,4
