,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1258588,,,0
1,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,70009032,,,0
2,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,91227,,,0
3,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1202041,,,0
4,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,484,Mexico,MEX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3824302,,,0
5,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,43158150,,,0
6,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,669275140,,,0
7,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,522139582,,,0
8,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,9120274,,,0
9,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,484,Mexico,MEX,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,19526981,,,0
10,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,4791971,,,0
11,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,954085332,,,0
12,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,89155057,,,0
13,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,930516,,,0
14,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,484,Mexico,MEX,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,7421302,,,0
15,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,3833590,,,0
16,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,204148534,,,0
17,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,2481994,,,0
18,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,458,Malaysia,MYS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,564455,,,0
19,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,484,Mexico,MEX,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,4327652,,,0
20,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,372,Ireland,IRL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,743950,,,0
21,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,381,Italy,ITA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,7040960,,,0
22,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,392,Japan,JPN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,2666973,,,0
23,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,458,Malaysia,MYS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,465477,,,0
