,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1369021,,,0
1,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,186438,,,0
2,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,17400823,,,0
3,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,494708,,,0
4,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1699799,,,0
5,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,218109980,,,0
6,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,47457582,,,0
7,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,149574448,,,0
8,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,211172004,,,0
9,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,31881525,,,0
10,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,7365351,,,0
11,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,40996668,,,0
12,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,16962858,,,0
13,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,11281791,,,0
14,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,5324106,,,0
15,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,528,Netherlands,NLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,73405888,,,0
16,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,616,Poland,POL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,15495745,,,0
17,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,11765524,,,0
18,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,10354916,,,0
19,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,3662359,,,4
20,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,528,Netherlands,NLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,10429060,,,4
21,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,616,Poland,POL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,9621073,,,0
22,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,643,Russian Federation,RUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,179290,,,0
23,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,372866,,,0
24,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,28860,,,0
25,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,528,Netherlands,NLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,88650715,,,0
26,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,616,Poland,POL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,2431985,,,0
27,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,643,Russian Federation,RUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,181983,,,0
28,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,2358866,,,0
29,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,12448327,,,0
30,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,528,Netherlands,NLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,675200804,,,0
31,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,616,Poland,POL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,313763539,,,0
32,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,643,Russian Federation,RUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,7025,,,0
33,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,630166,,,0
34,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,1261292,,,0
35,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,528,Netherlands,NLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,688864347,,,4
36,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,616,Poland,POL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,404935239,,,0
37,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,643,Russian Federation,RUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,7664,,,0
38,H5,2020,2020,2020,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,4452906,,,0
