,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,213,,,0
1,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,73450,,,4
2,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,84547,,,0
3,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,179275,,,0
4,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,6274,,,0
5,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,34126,,,4
6,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,2199915,,,0
7,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,702,Singapore,SGP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,6746386,,,0
8,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,6689813,,,4
9,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,764,Thailand,THA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,918734,,,0
10,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,702,Singapore,SGP,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,5,,,0
11,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,20428,,,0
12,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,59155,,,0
13,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,764,Thailand,THA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,488,,,0
14,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,702,Singapore,SGP,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,10,,,0
15,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,226596,,,0
16,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,682,Saudi Arabia,SAU,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,1522,,,0
17,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,702,Singapore,SGP,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,379,,,0
18,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,1645154,,,0
19,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,764,Thailand,THA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,15,,,4
20,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,682,Saudi Arabia,SAU,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,15204044,,,4
21,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,702,Singapore,SGP,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,9633435,,,4
22,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,159628768,,,4
23,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,764,Thailand,THA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,3478180,,,0
24,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,16549,,,0
25,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,764,Thailand,THA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1,,,4
26,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,682,Saudi Arabia,SAU,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,3,,,0
27,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,702,Singapore,SGP,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,92202,,,4
28,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,83877,,,0
29,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,764,Thailand,THA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,53,,,0
30,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,702,Singapore,SGP,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,379,,,0
31,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,407574,,,4
32,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,682,Saudi Arabia,SAU,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,1096703,,,0
33,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,702,Singapore,SGP,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,2390357,,,4
34,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,724,Spain,ESP,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,2846206,,,4
35,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,764,Thailand,THA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,465056,,,4
