,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,6,,,4
1,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2475,,,0
2,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,742,,,0
3,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,19397,,,0
4,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,53919,,,0
5,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,787,,,0
6,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,8649270,,,0
7,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,9355,,,0
8,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,357186400,,,0
9,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,41735742,,,4
10,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,371991,,,4
11,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,76,Brazil,BRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,46101,,,0
12,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,32220496,,,4
13,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,307704405,,,0
14,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,562651,,,4
15,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,56,Belgium,BEL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,30,,,0
16,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,76,Brazil,BRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,927,,,0
17,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,124,Canada,CAN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,2341097,,,0
18,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,156,China,CHN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,7040878,,,4
19,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,36,Australia,AUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,568180,,,0
20,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,56,Belgium,BEL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1739472,,,0
21,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,76,Brazil,BRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,612176,,,0
22,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,124,Canada,CAN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,61633,,,0
23,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,156,China,CHN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,15553007,,,4
24,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,36,Australia,AUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1284925,,,4
25,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,56,Belgium,BEL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,47797,,,0
26,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,76,Brazil,BRA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,2352418,,,0
