,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,15209,,,4
1,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2455,,,0
2,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1174,,,0
3,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,22141351,,,0
4,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2196563,,,0
5,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2332489,,,0
6,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,16179956,,,0
7,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2225227,,,0
8,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,284799,,,0
9,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,626969,,,0
10,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,61664770,,,4
11,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,2471,,,0
12,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,124074,,,0
13,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,264742,,,0
14,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,468897,,,0
15,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,948,,,0
16,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,20,,,0
17,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1294426,,,0
18,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,2041578,,,4
19,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,93478,,,0
20,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,91696,,,0
21,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,1602415,,,0
22,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,14735195,,,4
23,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,343324,,,0
24,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,6757784,,,4
25,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,5087520,,,0
26,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,16381164,,,4
27,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,1133211,,,0
28,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,1435743,,,0
29,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,95716,,,0
30,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,1161005,,,4
31,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,18588,,,0
32,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,206653,,,4
33,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,20902103,,,0
34,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,125046969,,,4
35,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,10569515,,,0
36,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,13633029,,,0
37,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,714996,,,4
38,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,34717652,,,4
39,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,1828448,,,0
40,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,334692,,,0
41,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,340065,,,4
42,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,2171586,,,4
43,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,2022706,,,4
44,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,154968,,,0
45,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,186500,,,4
46,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,0,,,4
47,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,10473,,,0
48,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,18045,,,4
49,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,407619,,,4
50,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,500,,,0
51,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,843741,,,0
52,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,4193291,,,4
53,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,331516,,,4
54,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,628615,,,0
55,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,139514948,,,0
56,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,123158472,,,4
57,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,8330914,,,4
58,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,29722531,,,0
59,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,682,Saudi Arabia,SAU,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,1495992,,,0
60,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,702,Singapore,SGP,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,48957826,,,4
61,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,724,Spain,ESP,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,79821,,,0
62,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,757,Switzerland,CHE,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,366589,,,4
