,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,245371,,,0
1,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,9703,,,0
2,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,32933,,,0
3,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3301,,,0
4,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,538204,,,0
5,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3712547,,,0
6,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,83643,,,0
7,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,484,Mexico,MEX,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,5773,,,0
8,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,908,,,0
9,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,121548866,,,0
10,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,74376078,,,0
11,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,474905,,,0
12,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,484,Mexico,MEX,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,2229,,,0
13,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1100,,,0
14,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,208910,,,0
15,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,881077,,,0
16,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,2096349,,,0
17,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,484,Mexico,MEX,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,934,,,0
18,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1146544,,,0
19,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,12,,,0
20,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,25352,,,0
21,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1091469,,,0
22,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,116227,,,0
23,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,632844,,,0
24,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,44036642,,,0
25,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,4326307,,,0
26,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,3704649,,,0
27,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,484,Mexico,MEX,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,148676,,,0
28,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,8382182,,,0
29,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,516350927,,,0
30,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,29904727,,,0
31,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,9577718,,,0
32,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,484,Mexico,MEX,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,26485337,,,0
33,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,60298,,,0
34,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,1953125,,,0
35,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,3568879,,,0
36,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,492227,,,0
37,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,484,Mexico,MEX,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,163196,,,0
38,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,83574,,,0
39,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,10962069,,,0
40,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,76794,,,0
41,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,7389,,,0
42,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,484,Mexico,MEX,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,551,,,0
43,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,3832,,,0
44,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,69948,,,0
45,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,1481,,,0
46,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,6113746,,,0
47,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,484,Mexico,MEX,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,49029,,,0
48,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,2597,,,0
49,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,10227994,,,0
50,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,6492545,,,0
51,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,473548,,,0
52,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,484,Mexico,MEX,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,138609,,,0
53,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,2987862,,,0
54,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,816074,,,0
55,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,1386406,,,0
