,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,639,,,0
1,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,397250,,,0
2,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,42411,,,0
3,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,141086,,,0
4,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,298566,,,0
5,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2268,,,0
6,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,455308,,,0
7,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1208794,,,0
8,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,699,India,IND,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1145,,,0
9,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,2102944,,,0
10,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,276,Germany,DEU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,8839858,,,0
11,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,344,"China, Hong Kong SAR",HKG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,243399,,,0
12,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,699,India,IND,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1747404,,,0
13,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,251,France,FRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1361,,,0
14,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,276,Germany,DEU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,816,,,0
15,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,344,"China, Hong Kong SAR",HKG,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,563814,,,0
16,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,699,India,IND,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,2772,,,0
17,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,276,Germany,DEU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,5440,,,0
18,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,699,India,IND,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,27291,,,0
19,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,203,Czechia,CZE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,808,,,0
20,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,251,France,FRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,130227,,,0
21,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,276,Germany,DEU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,292378,,,0
22,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,344,"China, Hong Kong SAR",HKG,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,313506,,,0
