,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,11757,,,0
1,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4121,,,0
2,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2178,,,0
3,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1389,,,0
4,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,484,Mexico,MEX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,509,,,0
5,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,3016,,,0
6,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,91455,,,0
7,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,9847530,,,0
8,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,485118,,,0
9,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,5435,,,0
10,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,458,Malaysia,MYS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,3073435,,,0
11,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,381,Italy,ITA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1005,,,0
12,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,372,Ireland,IRL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,69868,,,0
13,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,381,Italy,ITA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,697156,,,0
14,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,392,Japan,JPN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,146653,,,0
15,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,458,Malaysia,MYS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,2669269,,,0
16,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,484,Mexico,MEX,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,230009,,,0
17,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,381,Italy,ITA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,379105,,,0
