,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2497076,,,4
1,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,21528,,,0
2,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,24792176,,,0
3,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,12108052,,,0
4,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3201896,,,0
5,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,6786912,,,0
6,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2978151,,,0
7,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,216761735,,,0
8,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,25771407,,,0
9,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,22197143,,,0
10,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,21884411,,,0
11,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,127434014,,,0
12,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,55253447,,,0
13,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,643,Russian Federation,RUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,249216,,,0
14,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,4937036,,,0
15,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1666473,,,0
16,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,264018702,,,0
17,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,32085679,,,0
18,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,6861266,,,0
19,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,3704,,,0
20,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1501168,,,0
21,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,29335567,,,0
22,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,3458257,,,0
23,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,643,Russian Federation,RUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,467543,,,0
24,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,16386,,,0
25,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,11006,,,0
26,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,21913196,,,0
27,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1272319,,,0
28,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,18143,,,0
29,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,100655,,,0
30,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,33427439,,,0
31,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,8842195,,,0
32,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,643,Russian Federation,RUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,86157,,,0
33,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,27023,,,4
34,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,76716326,,,0
35,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,12387215,,,0
