,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1201812,,,0
1,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,10095792,,,0
2,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5157978,,,0
3,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,27566553,,,0
4,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,235246,,,0
5,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,7238083,,,4
6,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,145161,,,4
7,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,37399178,,,0
8,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,9626779,,,4
9,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,6189137,,,0
10,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,348627,,,0
11,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,241543205,,,4
12,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1200757,,,0
13,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,20101131,,,4
14,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,33039803,,,0
15,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,79780040,,,0
16,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,2012457,,,0
17,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,91818,,,0
18,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,491618,,,0
19,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,3044650,,,4
20,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1030451,,,0
