,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,7002695,,,4
1,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,1986,,,4
2,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,116,Cambodia,KHM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,125926,,,4
3,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,551,,,4
4,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,2054,,,4
5,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2510882,,,4
6,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,21347,,,4
7,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,55391,,,4
8,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1698665,,,4
9,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,557210,,,4
10,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,414,Kuwait,KWT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,690,,,4
11,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,418,Lao People's Dem. Rep.,LAO,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1101170,,,4
12,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,4440,,,4
13,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,23100,,,4
14,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,608,Philippines,PHL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,23145,,,4
15,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,46412,,,4
16,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,710,South Africa,ZAF,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,800,,,4
17,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,2010,,,4
18,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,620,,,4
19,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8912,,,4
20,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,817382,,,4
21,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,68661546,,,4
22,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,11503,,,4
23,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,4013166,,,4
24,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,104,Myanmar,MMR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,127710,,,4
25,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,116,Cambodia,KHM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,581491,,,4
26,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,659076,,,4
27,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3315309,,,4
28,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,922377,,,4
29,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,42273,,,4
30,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,53863507,,,4
31,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,12150,,,4
32,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,412087,,,4
33,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,653632,,,4
34,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,418,Lao People's Dem. Rep.,LAO,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,310193,,,4
35,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,128068,,,4
36,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,842224,,,4
37,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,638119,,,4
38,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,591,Panama,PAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,15787,,,4
39,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,19306,,,4
40,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,66511,,,4
41,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,450725,,,4
42,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,710,South Africa,ZAF,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1445,,,4
43,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,285701,,,4
44,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,49446,,,4
45,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,48905,,,4
46,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1121328,,,4
47,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,862,Venezuela,VEN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,69498,,,4
48,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,,,5771043979,,,4
49,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,12,Algeria,DZA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,3082953,,,4
50,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,24,Angola,AGO,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,432062,,,4
51,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,31,Azerbaijan,AZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,65134,,,4
52,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,32,Argentina,ARG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,3713594,,,4
53,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,137429834,,,4
54,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,40,Austria,AUT,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1000349,,,4
55,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,50,Bangladesh,BGD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,630480,,,4
56,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,101853328,,,4
57,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,76,Brazil,BRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,48179049,,,4
58,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,96,Brunei Darussalam,BRN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1256709,,,4
59,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,100,Bulgaria,BGR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,511950,,,4
60,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,143458,,,4
61,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,112,Belarus,BLR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1075178,,,4
62,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,116,Cambodia,KHM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,37426780,,,4
63,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,120,Cameroon,CMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,299806,,,4
64,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,150787629,,,4
65,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,144,Sri Lanka,LKA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,3940097,,,4
66,H5,2020,2020,2020,2,0,2,Export,704,Viet Nam,VNM,152,Chile,CHL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,11770640,,,4
